scenario_group,policy_id,avg_objective,std_objective,fail_rate,avg_win_rate,avg_short,avg_idle,rank_in_group
COST_PRESSURE,P6,147613.269017,12479.705777,0.805000000,0.470245180,11.807971,1130.944004,7
COST_PRESSURE,P7,137398.613031,9571.074897,0.585000000,0.471913629,8.189766,1236.805521,8
COST_PRESSURE,P8,150106.414192,12640.342903,0.785000000,0.470679980,9.261862,1172.437219,1
COST_PRESSURE,P9,104396.690836,11829.535878,0.715000000,0.501822444,7.542744,1865.662360,10
INTERNAL_RATIO_STRESS,P0,141222.373625,10246.214383,0.730000000,0.462501010,9.856617,1170.437545,3
INTERNAL_RATIO_STRESS,P1,140531.487117,11207.576598,0.740000000,0.451149167,10.689049,1173.834007,4
INTERNAL_RATIO_STRESS,P2,140487.418568,10327.221586,0.770000000,0.465394791,11.350921,1151.588146,5
INTERNAL_RATIO_STRESS,P3,141319.736972,10544.988231,0.745000000,0.459123449,8.441445,1158.252271,2
INTERNAL_RATIO_STRESS,P4,115175.600814,9990.139811,0.995000000,0.473634541,22.360603,1584.875833,9
INTERNAL_RATIO_STRESS,P5,139905.230748,10916.623079,0.815000000,0.448671055,12.321591,1181.684760,6
INTERNAL_RATIO_STRESS,P6,139535.468661,11031.648939,0.785000000,0.454713158,11.320615,1148.178888,7
INTERNAL_RATIO_STRESS,P7,133608.917083,10241.385118,0.635000000,0.454534953,8.185895,1234.160373,8
INTERNAL_RATIO_STRESS,P8,142803.476138,10978.259947,0.795000000,0.452803904,9.937353,1206.641956,1
INTERNAL_RATIO_STRESS,P9,102210.653214,10597.647820,0.760000000,0.485446233,8.877210,1840.131841,10
